Input Signal, Output Signal, Freq Scale, Mag Spec Input, Phase Spec Input, Impulse Resp, Freq Resp Mag, Freq Resp Phase, Mag Spec Out, Mag Phase Out
-0.249634,-0.000404,793.403298,22.658066,-1.385007,-0.000146,0.123561,-0.536398,-14.876046,-0.592965,
-0.247620,-0.000000,804.422789,16.767826,-1.438378,-0.000107,0.122555,-0.543872,-16.007126,-1.392691,
-0.242279,-0.000000,815.442279,18.858751,-0.866870,0.000001,0.121533,-0.551346,-5.085269,1.381905,
-0.240021,0.000000,826.461769,21.260962,-1.265641,0.000088,0.120498,-0.558822,-0.622123,-1.105830,
-0.238831,0.000021,837.481259,22.923918,1.555156,0.000096,0.119441,-0.566299,6.421644,-0.073317,
-0.239624,0.085626,848.500750,24.042320,0.850268,0.000034,0.118374,-0.573776,-1.701581,-0.910686,
-0.249359,-0.000000,859.520240,20.495291,0.852451,-0.000041,0.117296,-0.581255,-4.658970,-1.175973,
-0.257660,0.000001,870.539730,15.628936,0.666338,-0.000072,0.116202,-0.588733,-10.073675,-1.424772,
-0.234650,-0.000145,881.559220,20.106621,1.067499,-0.000046,0.115086,-0.596214,-10.063049,1.329857,
-0.170502,0.017091,892.578711,24.066814,0.467108,0.000008,0.113960,-0.603695,-13.390123,-1.192328,
-0.079651,-0.000000,903.598201,22.665754,0.281724,0.000046,0.112817,-0.611176,-13.017991,-1.280180,
0.021515,-0.000000,914.617691,24.822311,-0.369351,0.000045,0.111662,-0.618659,-12.106093,-1.374643,
0.121307,-0.000002,925.637181,21.873709,-1.433079,0.000011,0.110488,-0.626143,-12.849801,-0.920329,
0.207550,-0.000415,936.656672,24.603609,0.218161,-0.000024,0.109296,-0.633627,-8.106706,-0.997518,
0.279724,-0.000000,947.676162,28.619938,0.065675,-0.000035,0.108099,-0.641113,-6.007183,-1.366249,
0.353516,0.000000,958.695652,25.513773,-0.876603,-0.000020,0.106879,-0.648599,0.881835,-0.912426,
0.442413,-0.000023,969.715142,31.654610,-0.532142,0.000007,0.105647,-0.656086,1.785445,-0.437565,
0.540497,0.000581,980.734633,33.504063,1.250761,0.000024,0.104402,-0.663574,-11.465401,1.286658,
0.627289,-0.004618,991.754123,26.910986,0.359071,0.000020,0.103136,-0.671063,-7.753263,0.254196,
0.687164,-0.000000,1002.773613,31.134230,1.375297,0.000003,0.101863,-0.678554,-10.652283,-0.004692,
0.712341,-0.000006,1013.793103,32.720844,0.419964,-0.000013,0.100568,-0.686044,-9.338975,-0.465012,
0.699921,-0.000030,1024.812594,31.504690,-0.054225,-0.000017,0.099260,-0.693536,-18.879391,-1.032667,
0.650604,0.025719,1035.832084,33.260933,0.183828,-0.000008,0.097943,-0.701029,-26.278490,-0.243867,
0.567657,-0.000000,1046.851574,48.526012,-0.392739,0.000005,0.096606,-0.708522,-28.066559,0.092370,
0.454895,0.000000,1057.871064,35.811337,1.214135,0.000012,0.095255,-0.716017,-27.383116,1.041328,
0.329132,0.000025,1068.890555,42.172585,0.020357,0.000009,0.093887,-0.723513,-17.542286,1.400221,
0.216888,-0.001570,1079.910045,32.062138,-0.809624,0.000000,0.092506,-0.731009,-18.625113,1.204308,
0.136749,0.000000,1090.929535,20.822741,-0.656705,-0.000007,0.091111,-0.738506,-15.856759,0.535391,
0.089722,-0.000000,1101.949025,25.943695,0.507401,-0.000008,0.089699,-0.746005,-15.891597,0.698717,
0.069611,0.000013,1112.968516,29.136351,0.108906,-0.000003,0.088273,-0.753504,-17.099566,0.005837,
0.060883,-0.000324,1123.988006,27.354877,-0.242516,0.000003,0.086841,-0.761004,-19.910639,-0.212845,
0.044800,-0.000000,1135.007496,24.981188,-0.440409,0.000006,0.085385,-0.768505,-29.346678,-1.500537,
0.002014,0.000000,1146.026987,19.790718,0.032857,0.000004,0.083916,-0.776007,-25.034519,-0.567159,
-0.072266,-0.000007,1157.046477,22.949310,-0.092006,-0.000001,0.082434,-0.783510,-17.287657,-1.338527,
-0.159943,0.000021,1168.065967,23.073877,-0.245494,-0.000004,0.080933,-0.791014,-13.636003,-1.492937,
-0.232422,-0.020736,1179.085457,21.248451,0.039638,-0.000004,0.079428,-0.798519,-12.161444,1.556874,
